Year,State,No. of Government Hospitals and Special Medical Institusions,No. of Beds
2019,Melaka,4,1429
2019,Negeri Sembilan,7,1898
2019,Pahang,12,2581
2019,Perak,16,5542
2019,Perlis,1,508
2019,Pulau Pinang,6,2113
2019,Sabah,25,4876
2019,Sarawak,23,4083
2019,Selangor,14,5907
2019,Terengganu,6,1698
2019,W.P. Kuala Lumpur,6,4912
2019,W.P. Labuan,1,122
2019,W.P. Putrajaya,2,621
2020,Johor,12,5270
2020,Kedah,9,2702
2020,Kelantan,10,2786
2020,Melaka,4,1429
2020,Negeri Sembilan,8,1977
2020,Pahang,12,2646
2020,Perak,16,5542
2020,Perlis,1,508
2020,Pulau Pinang,6,2113
2020,Sabah,25,5013
2020,Sarawak,23,4146
2020,Selangor,14,6131
2020,Terengganu,6,1700
2020,W.P. Kuala Lumpur,7,5583
2020,W.P. Labuan,1,122
2020,W.P. Putrajaya,2,637
2021,Johor,12,5278
2021,Kedah,9,2755
2021,Kelantan,10,2812
2021,Melaka,4,1439
2021,Negeri Sembilan,8,1977
2021,Pahang,12,2611
2021,Perak,16,5924
2021,Perlis,1,508
2021,Pulau Pinang,6,2133
2021,Sabah,25,5023
2021,Sarawak,23,4099
2021,Selangor,16,7159
2021,Terengganu,6,1722
2021,W.P. Kuala Lumpur,7,5582
2021,W.P. Labuan,1,122
2021,W.P. Putrajaya,2,637
